brand,menu,star,review
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반을 간장으로 변경),음료 추가 선택(추가없음),추가 선택(우유튀김 7개추가))",5,"양이 정말 많아요
서비스도 좋습니다"
오태식해바라기치킨-송정점,"세트7.（후라이드＋후라이드＋콜라 1.25L）/1(메뉴 선택 1(순살),메뉴 추가 선택 1(홀갈릭마요로 변경),메뉴 선택 2(순살),메뉴 추가 선택 2(치즈시즈닝으로 변경),음료 추가 선택(추가없음))",5,진짜 너무 맛있었고 빠삭했습니다! 두마리치킨으로 생각하고있었는데 아예 한마리씩 두 통이 배달이 와서 놀랐습니다! 그만큼 양도 엄청 많더라고요
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(순살),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음))",5,처음 먹었는데 양 많고 맛있고 만족♡
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,"사진을 깜빡했어요...
맛💯점 양💯점 배달💯점"
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,치킨에 케이준까지!!! 너무맛있어요!! 소스도 다 맛있습니다!ㅠ 다음에도 재주문할게요!!
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반을 간장으로 변경),음료 추가 선택(추가없음))",5,치킨은 항상 오태식만 시킵니다! 맛있는 치킨 감사드려요~!
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음),추가 선택(매콤갈비소스,청고추마요소스))",5,너무 맛있어요! 소스도 좋네요
오태식해바라기치킨-송정점,"병진이형 간장치킨/1(메뉴 선택(윙봉),음료 추가 선택(추가없음)),소주/1",5,배달 빠르고 맛있어요
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반을 홀갈릭마요로 변경),양념반 선택(양념반을 레드로 변경),음료 추가 선택(추가없음))",5,"매번 먹을 때마다 
너어엉무 푸짐해서 감탄합니다 ㄷㄷ
서비스#맛#양 모두 만족시켜주는 💯💯💯💯
🐔 치킨맛집👍👍👍👍
#식후감"
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음))",5,"후라이드, 양념 둘 다 맛있고 고기살이 퍽퍽하지 않고 부드러워서 좋아요!"
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반을 매콤갈비로변경),음료 추가 선택(추가없음))",5,맜있게 먹었습니다~~!
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반을 깐풍으로 변경),음료 추가 선택(추가없음))",5,맛있게 잘먹었습니다 오늘 배달 문제였는지 치킨이 식은건 좀 아쉽지만 그래도 맛난맛입니다
